q,p,exact_width,envelope
0.2,0.6247499999999999,0.3810296984972192,0.4
0.2,0.6272449999999999,0.3802506850844066,0.4
0.2,0.62974,0.3794552195283621,0.4
0.2,0.632235,0.37864323938010297,0.4
0.2,0.6347299999999999,0.37781468076948604,0.4
0.2,0.6372249999999999,0.3769694783923692,0.4
0.2,0.63972,0.37610756549744817,0.4
0.2,0.642215,0.37522887387276377,0.4
0.2,0.64471,0.3743333338318732,0.4
0.2,0.6472049999999999,0.37342087419968123,0.4
0.2,0.6496999999999999,0.37249142229792453,0.4
0.2,0.652195,0.3715449039303058,0.4
0.2,0.65469,0.3705812433672685,0.4
0.2,0.6571849999999999,0.36960036333040963,0.4
0.2,0.6596799999999999,0.36860218497652114,0.4
0.2,0.662175,0.36758662788125707,0.4
0.2,0.66467,0.366553610022417,0.4
0.2,0.667165,0.3655030477628404,0.4
0.2,0.6696599999999999,0.3644348558329061,0.4
0.2,0.672155,0.36334894731262596,0.4
0.2,0.67465,0.3622452336133317,0.4
0.2,0.677145,0.3611236244589418,0.4
0.2,0.6796399999999999,0.359984027866803,0.4
0.2,0.6821349999999999,0.3588263501280986,0.4
0.2,0.68463,0.35765049578781755,0.4
0.2,0.687125,0.3564563676242703,0.4
0.2,0.6896199999999999,0.35524386662814944,0.4
0.2,0.6921149999999999,0.35401289198112246,0.4
0.2,0.69461,0.3527633410339489,0.4
0.2,0.697105,0.35149510928411176,0.4
0.2,0.6996,0.3502080903529563,0.4
0.2,0.7020949999999999,0.3489021759623222,0.4
0.2,0.7045899999999999,0.34757725591066385,0.4
0.2,0.707085,0.3462332180486446,0.4
0.2,0.70958,0.344869948254197,0.4
0.2,0.7120749999999999,0.34348733040703716,0.4
0.2,0.7145699999999999,0.3420852463626219,0.4
0.2,0.717065,0.34066357592553814,0.4
0.2,0.71956,0.3392221968223125,0.4
0.2,0.722055,0.33776098467362786,0.4
0.2,0.7245499999999999,0.3362798129659371,0.4
0.2,0.7270449999999999,0.3347785530224592,0.4
0.2,0.72954,0.3332570739735446,0.4
0.2,0.732035,0.3317152427263987,0.4
0.2,0.7345299999999999,0.3301529239341472,0.4
0.2,0.7370249999999999,0.32856997996422965,0.4
0.2,0.73952,0.32696627086610913,0.4
0.2,0.742015,0.3253416543382794,0.4
0.2,0.7445099999999999,0.32369598569455676,0.4
0.2,0.7470049999999999,0.3220291178296403,0.4
0.2,0.7494999999999999,0.32034090118392466,0.4
0.2,0.751995,0.3186311837075469,0.4
0.2,0.75449,0.3168998108236537,0.4
0.2,0.7569849999999999,0.3151466253908677,0.4
0.2,0.7594799999999999,0.3133714676649382,0.4
0.2,0.761975,0.31157417525955494,0.4
0.2,0.76447,0.30975458310630843,0.4
0.2,0.7669649999999999,0.30791252341377495,0.4
0.2,0.7694599999999999,0.3060478256257077,0.4
0.2,0.771955,0.3041603163783129,0.4
0.2,0.77445,0.30224981945658935,0.4
0.2,0.776945,0.30031615574971016,0.4
0.2,0.7794399999999999,0.2983591432054234,0.4
0.2,0.7819349999999999,0.2963785967834485,0.4
0.2,0.78443,0.294374328407847,0.4
0.2,0.786925,0.29234614691833893,0.4
0.2,0.7894199999999999,0.2902938580205435,0.4
0.2,0.7919149999999999,0.2882172642351162,0.4
0.2,0.79441,0.2861161648457562,0.4
0.2,0.796905,0.2839903558460575,0.4
0.2,0.7994,0.2818396298851738,0.4
0.2,0.8018949999999999,0.27966377621226973,0.4
0.2,0.8043899999999999,0.27746258061972784,0.4
0.2,0.806885,0.27523582538508196,0.4
0.2,0.80938,0.2729832892116423,0.4
0.2,0.8118749999999999,0.27070474716778337,0.4
0.2,0.8143699999999999,0.26839997062485904,0.4
0.2,0.816865,0.2660687271937109,0.4
0.2,0.81936,0.2637107806597344,0.4
0.2,0.8218549999999999,0.261325890916466,0.4
0.2,0.8243499999999999,0.25891381389765444,0.4
0.2,0.8268449999999999,0.25647430150777634,0.4
0.2,0.82934,0.2540071015509572,0.4
0.2,0.831835,0.25151195765825557,0.4
0.2,0.8343299999999999,0.2489886092132702,0.4
0.2,0.8368249999999999,0.24643679127602242,0.4
0.2,0.83932,0.24385623450507432,0.4
0.2,0.841815,0.2412466650778317,0.4
0.2,0.8443099999999999,0.23860780460898615,0.4
0.2,0.8468049999999999,0.23593937006704643,0.4
0.2,0.8492999999999999,0.23324107368891012,0.4
0.2,0.851795,0.23051262289241956,0.4
0.2,0.85429,0.2277537201868522,0.4
0.2,0.8567849999999999,0.22496406308128725,0.4
0.2,0.8592799999999999,0.2221433439907914,0.4
0.2,0.861775,0.2192912501403658,0.4
0.2,0.86427,0.21640746346659276,0.4
0.2,0.8667649999999999,0.21349166051691762,0.4
0.2,0.8692599999999999,0.2105435123465027,0.4
0.2,0.871755,0.2075626844125869,0.4
0.2,0.87425,0.20454883646627875,0.4
0.2,0.8767449999999999,0.2015016224417147,0.4
0.2,0.8792399999999999,0.198420690342507,0.4
0.2,0.8817349999999999,0.1953056821254063,0.4
0.2,0.88423,0.19215623358109915,0.4
0.2,0.886725,0.1889719742120607,0.4
0.2,0.8892199999999999,0.1857525271073776,0.4
0.2,0.8917149999999999,0.18249750881445523,0.4
0.2,0.89421,0.17920652920751984,0.4
0.2,0.896705,0.17587919135282315,0.4
0.2,0.8991999999999999,0.1725150913704542,0.4
0.2,0.9016949999999999,0.16911381829265806,0.4
0.2,0.9041899999999999,0.16567495391856382,0.4
0.2,0.906685,0.1621980726652113,0.4
0.2,0.90918,0.15868274141477107,0.4
0.2,0.9116749999999999,0.15512851935784377,0.4
0.2,0.9141699999999999,0.15153495783272217,0.4
0.2,0.916665,0.14790160016049697,0.4
0.2,0.91916,0.1442279814758795,0.4
0.2,0.9216549999999999,0.14051362855361443,0.4
0.2,0.9241499999999999,0.13675805963034662,0.4
0.2,0.9266449999999999,0.1329607842218085,0.4
0.2,0.92914,0.1291213029351795,0.4
0.2,0.9316349999999999,0.12523910727647425,0.4
0.2,0.9341299999999999,0.1213136794528029,0.4
0.2,0.9366249999999999,0.11734449216934925,0.4
0.2,0.93912,0.11333100842089762,0.4
0.2,0.941615,0.10927268127774194,0.4
0.2,0.9441099999999999,0.10516895366579963,0.4
0.2,0.9466049999999999,0.10101925814074716,0.4
0.2,0.9490999999999999,0.09682301665599023,0.4
0.2,0.951595,0.09257964032426962,0.4
0.2,0.9540899999999999,0.08828852917270187,0.4
0.2,0.9565849999999999,0.08394907189104235,0.4
0.2,0.9590799999999999,0.07956064557295481,0.4
0.2,0.961575,0.07512261545005726,0.4
0.2,0.96407,0.07063433461851232,0.4
0.2,0.9665649999999999,0.06609514375791661,0.4
0.2,0.9690599999999999,0.06150437084223589,0.4
0.2,0.971555,0.05686133084252614,0.4
0.2,0.97405,0.0521653254211637,0.4
0.2,0.9765449999999999,0.04741564261730562,0.4
0.2,0.9790399999999999,0.042611556523283224,0.4
0.2,0.9815349999999999,0.03775232695162759,0.4
0.2,0.98403,0.03283719909240579,0.4
0.2,0.986525,0.027865403160541966,0.4
0.2,0.9890199999999999,0.02283615403277985,0.4
0.2,0.9915149999999999,0.017748650873930575,0.4
0.2,0.99401,0.012602076752039247,0.4
0.2,0.996505,0.007395598242081844,0.4
0.2,0.999,0.0021283650177962975,0.4
0.5,0.001,0.0013302281361226849,0.25
0.5,0.003495,0.004622248901301117,0.25
0.5,0.00599,0.007876297970024464,0.25
0.5,0.008485,0.011092906796206514,0.25
0.5,0.01098,0.014272596270487277,0.25
0.5,0.013475,0.01741587697533871,0.25
0.5,0.015969999999999998,0.020523249432753573,0.25
0.5,0.018465,0.023595204344767157,0.25
0.5,0.02096,0.026632222827051903,0.25
0.5,0.023455,0.02963477663581587,0.25
0.5,0.02595,0.03260332838822728,0.25
0.5,0.028444999999999998,0.035538331776578766,0.25
0.5,0.03094,0.03844023177639735,0.25
0.5,0.033435,0.04130946484869776,0.25
0.5,0.03593,0.044146459136570164,0.25
0.5,0.038425,0.04695163465628575,0.25
0.5,0.04092,0.04972540348309666,0.25
0.5,0.043414999999999995,0.05246816993190136,0.25
