gamma,candidate_lower,baseline_upper,improvement_certificate
1.4,0.5586206896551724,0.4413793103448276,0.11724137931034484
1.4100000000000001,0.5577319587628866,0.4422680412371134,0.11546391752577323
1.42,0.5568493150684932,0.4431506849315069,0.11369863013698633
1.43,0.5559726962457339,0.44402730375426624,0.11194539249146762
1.44,0.5551020408163265,0.4448979591836735,0.11020408163265305
1.45,0.5542372881355933,0.44576271186440675,0.1084745762711865
1.46,0.5533783783783783,0.44662162162162167,0.10675675675675667
1.47,0.5525252525252525,0.44747474747474747,0.10505050505050506
1.48,0.5516778523489934,0.44832214765100675,0.1033557046979866
1.49,0.5508361204013378,0.4491638795986622,0.10167224080267556
1.5,0.5499999999999999,0.45,0.09999999999999992
1.51,0.5491694352159469,0.45083056478405314,0.09833887043189371
1.52,0.5483443708609271,0.45165562913907287,0.09668874172185427
1.53,0.5475247524752475,0.4524752475247525,0.09504950495049497
1.54,0.5467105263157894,0.4532894736842105,0.0934210526315789
1.55,0.5459016393442622,0.4540983606557377,0.09180327868852445
1.56,0.5450980392156862,0.4549019607843137,0.0901960784313725
1.57,0.5442996742671009,0.45570032573289904,0.08859934853420187
1.58,0.5435064935064935,0.4564935064935065,0.08701298701298699
1.5899999999999999,0.5427184466019417,0.45728155339805826,0.08543689320388342
1.6,0.5419354838709677,0.45806451612903226,0.08387096774193542
1.6099999999999999,0.5411575562700964,0.45884244372990357,0.08231511254019286
1.62,0.5403846153846154,0.45961538461538465,0.0807692307692307
1.63,0.5396166134185303,0.46038338658146966,0.07923322683706063
1.6400000000000001,0.5388535031847133,0.46114649681528663,0.07770700636942662
1.65,0.5380952380952381,0.46190476190476193,0.07619047619047614
1.6600000000000001,0.5373417721518987,0.4626582278481013,0.07468354430379742
1.67,0.5365930599369085,0.4634069400630915,0.07318611987381701
1.6800000000000002,0.5358490566037735,0.4641509433962264,0.07169811320754704
1.69,0.5351097178683385,0.46489028213166145,0.07021943573667705
1.7000000000000002,0.5343749999999999,0.465625,0.06874999999999992
1.71,0.5336448598130841,0.46635514018691593,0.06728971962616814
1.72,0.5329192546583851,0.4670807453416149,0.06583850931677016
